age	workclass	education	marital-status	occupation	relationship	race	sex	capital-net	hours-per-week	native-country	Class
mature	 State-gov	higher	 Never-married	 Adm-clerical	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Handlers-cleaners	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Handlers-cleaners	 Husband	 Black	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Wife	 Black	 Female	low	low	developing	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Wife	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Other-service	 Not-in-family	 Black	 Female	low	low	developing	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	high	high	developed	 >50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 Black	 Male	low	high	developed	 >50K
medium	 State-gov	higher	Married	 Prof-specialty	 Husband	 Asian-Pac-Islander	 Male	low	low	developing	 >50K
young	 Private	higher	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 Black	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 Asian-Pac-Islander	 Male	low	low	 ?	 >50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 Amer-Indian-Eskimo	 Male	low	high	developing	 <=50K
medium	 Self-emp-not-inc	lower	 Never-married	 Farming-fishing	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Machine-op-inspct	 Unmarried	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married-separated	 Exec-managerial	 Unmarried	 White	 Female	low	high	developed	 >50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Other-service	 Unmarried	 Black	 Female	low	low	developed	 <=50K
mature	 Federal-gov	lower	Married	 Farming-fishing	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Tech-support	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	higher	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	lower	 Never-married	 Craft-repair	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married	 ?	 Husband	 Asian-Pac-Islander	 Male	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Exec-managerial	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Local-gov	lower	 Never-married	 Protective-serv	 Not-in-family	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 Black	 Male	low	high	developed	 <=50K
mature	 Private	higher	Married-separated	 Exec-managerial	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Federal-gov	lower	Married	 Adm-clerical	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 State-gov	lower	Married	 Other-service	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Machine-op-inspct	 Unmarried	 White	 Male	low	low	developing	 <=50K
young	 Private	lower	 Never-married	 Machine-op-inspct	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	Married	 Adm-clerical	 Wife	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	 ?	 >50K
mature	 Self-emp-not-inc	lower	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	higher	Married	 Tech-support	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Handlers-cleaners	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	higher	Married	 Prof-specialty	 Husband	 Black	 Male	low	low	developed	 >50K
mature	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Exec-managerial	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 State-gov	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Prof-specialty	 Not-in-family	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	Married	 Exec-managerial	 Wife	 Other	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	low	low	 ?	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Wife	 White	 Female	low	high	developing	 >50K
mature	 Federal-gov	higher	Married-separated	 Exec-managerial	 Not-in-family	 White	 Male	low	high	developed	 >50K
mature	 Self-emp-inc	lower	Married-separated	 Exec-managerial	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Sales	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 ?	lower	Married-separated	 ?	 Not-in-family	 White	 Male	low	low	 ?	 <=50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married-separated	 Tech-support	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Wife	 White	 Female	low	low	developed	 >50K
mature	 Self-emp-inc	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
medium	 ?	lower	 Never-married	 ?	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Prof-specialty	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married-separated	 Sales	 Own-child	 Black	 Female	low	low	developed	 <=50K
medium	 Self-emp-not-inc	higher	Married	 Sales	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Machine-op-inspct	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Prof-specialty	 Other-relative	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Local-gov	lower	Married	 Farming-fishing	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Other-service	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married	 Other-service	 Wife	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Female	high	low	developed	 >50K
mature	 Private	lower	Married-separated	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	high	developed	 >50K
mature	 Private	lower	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Machine-op-inspct	 Unmarried	 Black	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Wife	 Asian-Pac-Islander	 Female	low	low	 ?	 <=50K
mature	 Local-gov	higher	Married	 Protective-serv	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Local-gov	lower	 Never-married	 Handlers-cleaners	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 >50K
